Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-06-05T23:21:16,165.2344,-8.3855,South,0.282,18.4207,18.4404,10,18801
2016-06-05T23:21:46,163.8281,-13.248,South,0.1867,15.2753,15.3023,10,18831
2016-06-05T23:22:16,166.6406,-3.5833,South,0.1731,22.329,22.3436,10,18861
2016-06-05T23:22:46,161.7188,-17.5828,South,0.08,14.2431,14.2772,10,18891
2016-06-05T23:23:16,168.0469,0.0,South,0.0361,25.3865,25.3976,10,18921
2016-06-05T23:23:46,161.0156,-22.0243,South,0.0289,13.4037,13.4414,10,18951
2016-06-05T23:24:16,165.9375,-11.4152,South,0.0245,15.8465,15.8692,10,18981
2016-06-05T23:24:46,164.5312,-5.3794,South,0.023,21.8113,21.8309,10,19011
2016-06-05T23:25:16,168.75,-6.5796,South,0.0192,19.0499,19.064,10,19041
2016-06-05T23:25:46,162.4219,-9.5941,South,0.0157,19.5892,19.6153,10,19071
2016-06-05T23:26:16,174.375,8.9893,South,0.0146,33.4362,33.4381,10,19101
2016-06-05T23:26:46,164.5312,-17.5828,South,0.0134,12.7871,12.8201,10,19131
2016-06-05T23:27:16,170.1562,2.9855,South,0.0119,28.0276,28.0362,10,19161
2016-06-05T23:27:46,164.5312,-0.5968,South,0.0086,26.4291,26.4466,10,19191
2016-06-05T23:28:16,176.4844,10.8069,South,0.0081,35.2163,35.2163,10,19221
2016-06-05T23:28:46,172.9688,6.5796,South,0.0079,31.1931,31.1978,10,19251
2016-06-05T23:29:16,158.9062,-25.2826,South,0.0077,16.2073,16.245,10,19281
2016-06-05T23:29:46,170.1562,-1.7908,South,0.0064,23.5319,23.5431,10,19311
2016-06-05T23:30:16,161.0156,-13.248,South,0.0059,18.7721,18.8038,10,19341
