Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-09-30T17:56:00,308.6719,5.9792,North,0.1827,25.5891,25.571,10,1791
2016-09-30T17:56:30,310.0781,1.1937,North,0.1237,30.4663,30.4491,10,1821
2016-09-30T17:57:00,305.8594,9.5941,North,0.1042,21.0355,21.0191,10,1851
2016-09-30T17:57:30,304.4531,4.7802,North,0.1012,25.0521,25.0404,10,1881
2016-09-30T17:58:00,305.8594,1.1937,North,0.0637,28.8545,28.8425,10,1911
2016-09-30T17:58:30,301.6406,8.3855,North,0.0536,20.8087,20.8002,10,1941
2016-09-30T17:59:00,310.0781,9.5941,North,0.0489,22.715,22.6938,10,1971
2016-09-30T17:59:30,312.8906,4.7802,North,0.0473,28.2155,28.1945,10,2001
2016-09-30T18:00:00,311.4844,-2.388,North,0.0428,33.9621,33.9459,10,2031
2016-09-30T18:00:30,301.6406,3.5833,North,0.0286,25.4459,25.4395,10,2061
2016-09-30T18:01:00,307.2656,-2.388,North,0.0278,32.4746,32.463,10,2091
2016-09-30T18:01:30,306.5625,12.6356,North,0.0254,18.0965,18.0785,10,2121
2016-09-30T18:02:00,314.2969,0.0,North,0.0187,32.7786,32.7593,10,2151
2016-09-30T18:02:30,302.3437,11.4152,North,0.014,17.7847,17.7755,10,2181
2016-09-30T18:03:00,312.1875,-5.3794,North,0.0128,36.7191,36.7041,10,2211
2016-09-30T18:03:30,298.8281,7.1808,North,0.0122,21.5311,21.5298,10,2241
2016-09-30T18:04:00,303.0469,0.0,North,0.011,29.0671,29.0607,10,2271
2016-09-30T18:04:30,307.9688,2.9855,North,0.0103,27.2907,27.2773,10,2301
2016-09-30T18:05:00,312.1875,7.7827,North,0.0068,24.5786,24.5579,10,2331
