Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-05-16T07:01:28,333.9844,-2.388,South,0.0098,65.9739,65.9364,10,71566
2016-05-16T07:01:58,336.7969,-8.3855,South,0.0095,65.9228,65.8848,10,71596
2016-05-16T07:02:28,331.875,1.7908,South,0.0076,65.7598,65.7229,10,71626
2016-05-16T07:02:58,335.3906,-4.7802,South,0.0071,65.8817,65.8439,10,71656
2016-05-16T07:03:28,338.2031,-10.8069,South,0.0069,65.9275,65.8895,10,71686
2016-05-16T07:03:58,330.4688,5.3794,South,0.006,65.9387,65.9027,10,71716
2016-05-16T07:04:58,339.6094,-13.248,South,0.0066,65.9622,65.9243,10,71776
2016-05-16T07:08:28,341.7187,-16.3348,South,0.0082,65.9902,65.9525,10,71986
2016-05-16T07:08:58,329.7656,8.3855,South,0.0051,65.8099,65.7748,10,72016
2016-05-16T07:10:28,334.6875,0.5968,South,0.0101,65.921,65.8839,10,72106
2016-05-17T07:31:09,350.1562,-21.3819,South,0.0546,65.9148,65.8778,10,159747
2016-05-17T07:31:39,346.6406,-16.9578,South,0.0491,64.0898,64.0521,10,159777
2016-05-17T07:32:09,344.5312,-12.6356,South,0.0382,63.5716,63.5336,10,159807
2016-05-17T07:32:39,341.7187,-8.9893,South,0.0294,62.2743,62.2363,10,159837
2016-05-17T07:33:09,352.2656,-25.9445,South,0.0326,65.9478,65.9118,10,159867
2016-05-17T07:33:39,339.6094,-4.7802,South,0.0223,61.8595,61.8219,10,159897
2016-05-17T07:34:09,348.75,-18.8394,South,0.0138,64.8027,64.7653,10,159927
2016-05-17T07:34:39,338.2031,-1.1937,South,0.0111,61.9661,61.929,10,159957
2016-05-17T07:35:09,334.6875,5.3794,South,0.0101,62.0199,61.9844,10,159987
2016-05-17T07:35:39,353.6719,-28.631,South,0.0096,65.8579,65.8226,10,160017
2016-05-17T07:36:09,329.7656,13.248,South,0.0066,62.243,62.2107,10,160047
2016-05-17T07:36:39,352.2656,-23.318,South,0.0166,65.961,65.9244,10,160077
2016-05-17T07:37:09,332.5781,9.5941,South,0.005,62.1392,62.1052,10,160107
2016-05-17T07:41:09,355.7812,-30.6916,South,0.0083,65.9154,65.8807,10,160347
