Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-11-12T02:32:06,171.5625,26.6101,North,0.6735,56.5452,56.5097,10,61907
2016-11-12T02:32:36,172.2656,23.318,North,0.0978,58.1325,58.0965,10,61937
2016-11-12T02:33:06,171.5625,29.3132,North,0.0884,55.5242,55.4893,10,61967
2016-11-12T02:33:36,168.0469,25.9445,North,0.038,53.4337,53.3979,10,61997
2016-11-12T02:34:06,175.0781,25.9445,North,0.0269,59.3171,59.2816,10,62027
2016-11-12T02:34:36,169.4531,23.318,North,0.0114,55.2752,55.2391,10,62057
2016-11-12T02:35:06,173.6719,30.0,North,0.0087,56.6675,56.6328,10,62087
2016-11-12T02:35:36,169.4531,30.0,North,0.0081,53.0492,53.0142,10,62117
