Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-09-13T08:11:00,3.5156,-20.7424,South,0.5759,38.4663,40.4022,510,79735
2016-09-13T08:19:50,3.5156,-16.9578,South,0.1589,41.5248,43.4631,510,80265
2016-09-13T08:28:40,2.8125,-23.9695,South,0.1009,42.4251,44.3374,510,80795
2016-09-13T08:37:30,0.0,-20.1055,South,0.0333,47.8438,49.8107,520,81325
2016-09-13T08:46:30,6.3281,-20.7424,South,0.0322,43.9935,45.9999,530,81865
2016-09-13T08:55:40,0.7031,-16.9578,South,0.0109,52.2533,54.3028,540,82415
2016-09-13T09:05:00,6.3281,-23.318,South,0.0098,47.5789,49.6373,550,82975
2016-09-13T09:14:30,0.0,-23.9695,South,0.0066,55.1921,56.4876,350,83545
