Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-08-10T04:29:16,303.1132,-50.48,South,0.0418,27.7591,29.7511,1450,32347
2016-08-10T04:53:46,305.0,-56.6372,South,0.0413,34.384,35.4261,880,33817
2016-08-10T05:08:46,301.2712,-45.784,South,0.0412,29.0022,33.096,1690,34717
2016-08-10T05:37:16,299.5312,-39.4509,South,0.04,31.8134,34.982,1020,36427
2016-08-10T05:54:36,307.7027,-62.6967,South,0.0393,42.9401,44.4794,1150,37467
2016-08-10T06:14:06,298.125,-33.5101,South,0.0382,39.3209,43.8863,1310,38637
2016-08-10T06:36:16,310.5,-67.9349,South,0.0368,48.9111,50.653,1440,39967
2016-08-10T07:00:36,296.7187,-27.9532,South,0.0355,50.9674,56.5814,1550,41427
2016-08-10T07:26:46,315.0,-73.1269,South,0.0333,54.3233,56.0177,1670,42997
2016-08-10T07:54:56,294.6094,-23.318,South,0.032,65.8451,69.9283,1120,44687
2016-08-10T08:13:56,317.8125,-78.2841,South,0.0296,59.0278,59.9783,1260,45827
2016-08-10T08:35:16,328.5,-82.6854,South,0.0253,60.7647,61.3881,1420,47107
2016-08-10T08:59:16,11.25,-87.0758,South,0.0207,62.5585,62.6579,1590,48547
