Observation_Time_UTC,RA[deg],DEC[deg],Observatory,PGW,ZenIni[deg],ZenEnd[deg],Duration[s],Delay[s]
2016-04-11T01:35:49,128.6719,19.4712,South,0.0123,50.0157,50.0351,10,41875
2016-04-11T01:36:19,131.4844,24.6243,South,0.0123,53.4491,53.4651,10,41905
2016-04-11T01:36:49,135.7031,31.3882,South,0.0121,58.3604,58.3721,10,41935
2016-04-11T01:37:19,141.3281,40.2282,South,0.0121,65.6628,65.6696,10,41965
2016-04-11T01:37:49,125.8594,14.4775,South,0.012,47.5062,47.5296,10,41995
2016-04-11T01:38:19,138.5156,35.6853,South,0.012,61.8466,61.8559,10,42025
2016-04-11T01:38:49,123.0469,9.5941,South,0.0112,45.5216,45.5487,10,42055
2016-04-11T01:39:19,120.2344,4.7802,South,0.0101,44.0847,44.1151,10,42085
2016-04-11T01:39:49,133.5938,27.9532,South,0.0086,56.0428,56.0571,10,42115
2016-04-11T01:40:19,117.4219,0.0,South,0.0085,43.3528,43.3862,10,42145
2016-04-11T01:40:49,114.6094,-4.7802,South,0.0068,43.1042,43.1398,10,42175
2016-04-11T01:41:19,111.7969,-8.3855,South,0.005,43.9157,43.9526,10,42205
